name,url
簡記木瓜牛奶,https://www.google.com.tw/maps/place/%E7%B0%A1%E8%A8%98%E6%9C%A8%E7%93%9C%E7%89%9B%E5%A5%B6/data=!4m7!3m6!1s0x3442aebabcbdcf19:0xac312329e09023dd!8m2!3d25.0894887!4d121.5245697!16s%2Fg%2F1tlcywt1!19sChIJGc-9vLquQjQR3SOQ4CkjMaw?authuser=0&hl=zh-TW&rclk=1
士林夜市果汁攤,https://www.google.com.tw/maps/place/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82%E6%9E%9C%E6%B1%81%E6%94%A4/data=!4m7!3m6!1s0x3442afb1ead9ce89:0x9ec769a60828712f!8m2!3d25.089366!4d121.525236!16s%2Fg%2F11pzfb93hc!19sChIJic7Z6rGvQjQRL3EoCKZpx54?authuser=0&hl=zh-TW&rclk=1
奶茶媽媽,https://www.google.com.tw/maps/place/%E5%A5%B6%E8%8C%B6%E5%AA%BD%E5%AA%BD/data=!4m7!3m6!1s0x3442aeaffd2a4cb9:0x21c4a743e55b5ec9!8m2!3d25.0880545!4d121.5258154!16s%2Fg%2F1tmbsttm!19sChIJuUwq_a-uQjQRyV5b5UOnxCE?authuser=0&hl=zh-TW&rclk=1
閉著眼睛點Lucky Tea,https://www.google.com.tw/maps/place/%E9%96%89%E8%91%97%E7%9C%BC%E7%9D%9B%E9%BB%9ELucky+Tea/data=!4m7!3m6!1s0x3442afd654abfbe9:0x2f89ad3b67975547!8m2!3d25.0866925!4d121.5256701!16s%2Fg%2F11s97xf5hb!19sChIJ6furVNavQjQRR1WXZzutiS8?authuser=0&hl=zh-TW&rclk=1
王記青草茶50年老店純濃厚青草茶舖,https://www.google.com.tw/maps/place/%E7%8E%8B%E8%A8%98%E9%9D%92%E8%8D%89%E8%8C%B650%E5%B9%B4%E8%80%81%E5%BA%97%E7%B4%94%E6%BF%83%E5%8E%9A%E9%9D%92%E8%8D%89%E8%8C%B6%E8%88%96/data=!4m7!3m6!1s0x3442aebab1d9b655:0x6253ecd5c56f42a1!8m2!3d25.089331!4d121.5250969!16s%2Fg%2F1tcwcpfc!19sChIJVbbZsbquQjQRoUJvxdXsU2I?authuser=0&hl=zh-TW&rclk=1
珍煮丹 士林大北店,https://www.google.com.tw/maps/place/%E7%8F%8D%E7%85%AE%E4%B8%B9+%E5%A3%AB%E6%9E%97%E5%A4%A7%E5%8C%97%E5%BA%97/data=!4m7!3m6!1s0x3442aea534c10c05:0x117208e1878977ce!8m2!3d25.090084!4d121.525658!16s%2Fg%2F11c0rglwdk!19sChIJBQzBNKWuQjQRzneJh-EIchE?authuser=0&hl=zh-TW&rclk=1
亞米亞米,https://www.google.com.tw/maps/place/%E4%BA%9E%E7%B1%B3%E4%BA%9E%E7%B1%B3/data=!4m7!3m6!1s0x3442aeba982f2f8d:0x91f2e15a0f32657f!8m2!3d25.0863232!4d121.5250421!16s%2Fg%2F11fxvbrz6j!19sChIJjS8vmLquQjQRf2UyD1rh8pE?authuser=0&hl=zh-TW&rclk=1
可不可熟成紅茶-台北士林店,https://www.google.com.tw/maps/place/%E5%8F%AF%E4%B8%8D%E5%8F%AF%E7%86%9F%E6%88%90%E7%B4%85%E8%8C%B6-%E5%8F%B0%E5%8C%97%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af5bab5fa54b:0xbce4ba275652235b!8m2!3d25.0896302!4d121.5267345!16s%2Fg%2F11g1nngfdr!19sChIJS6Vfq1uvQjQRWyNSVie65Lw?authuser=0&hl=zh-TW&rclk=1
冰封仙果 ICE UNA 台北士林店,https://www.google.com.tw/maps/place/%E5%86%B0%E5%B0%81%E4%BB%99%E6%9E%9C+ICE+UNA+%E5%8F%B0%E5%8C%97%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af56e15742d7:0xb09caf1bfff849e4!8m2!3d25.0895537!4d121.5270244!16s%2Fg%2F11l6kpdn7q!19sChIJ10JX4VavQjQR5En4_xuvnLA?authuser=0&hl=zh-TW&rclk=1
泰旺．泰式曼谷手沖茶 士林店,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%97%BA%EF%BC%8E%E6%B3%B0%E5%BC%8F%E6%9B%BC%E8%B0%B7%E6%89%8B%E6%B2%96%E8%8C%B6+%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af3b1f0786ad:0xcaba2fdc01428041!8m2!3d25.0880648!4d121.5249608!16s%2Fg%2F11t_shg2wf!19sChIJrYYHHzuvQjQRQYBCAdwvuso?authuser=0&hl=zh-TW&rclk=1
