name,url
甜甜的朋友圈（士林店）,https://www.google.com.tw/maps/place/%E7%94%9C%E7%94%9C%E7%9A%84%E6%9C%8B%E5%8F%8B%E5%9C%88%EF%BC%88%E5%A3%AB%E6%9E%97%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a78a86f62cfd:0xa3d5d70296693877!8m2!3d25.0890724!4d121.526023!16s%2Fg%2F11k4tx3_dg!19sChIJ_Sz2hoqnQjQRdzhplgLX1aM?authuser=0&hl=zh-TW&rclk=1
凍心炸冰淇淋-士林店,https://www.google.com.tw/maps/place/%E5%87%8D%E5%BF%83%E7%82%B8%E5%86%B0%E6%B7%87%E6%B7%8B-%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af432c28e25f:0x2c3495e3351f339d!8m2!3d25.0890509!4d121.5262316!16s%2Fg%2F11y3hwwz2q!19sChIJX-IoLEOvQjQRnTMfNeOVNCw?authuser=0&hl=zh-TW&rclk=1
雹仔豆花 鹽滷豆花 士林,https://www.google.com.tw/maps/place/%E9%9B%B9%E4%BB%94%E8%B1%86%E8%8A%B1+%E9%B9%BD%E6%BB%B7%E8%B1%86%E8%8A%B1+%E5%A3%AB%E6%9E%97/data=!4m7!3m6!1s0x3442af518c712715:0x62a3bfcc9a719fff!8m2!3d25.0895323!4d121.5263804!16s%2Fg%2F11ks59gjs_!19sChIJFSdxjFGvQjQR_59xmsy_o2I?authuser=0&hl=zh-TW&rclk=1
Old soul 老靈魂 coffee studio。應援咖啡廳。寵物友善。,https://www.google.com.tw/maps/place/Old+soul+%E8%80%81%E9%9D%88%E9%AD%82+coffee+studio%E3%80%82%E6%87%89%E6%8F%B4%E5%92%96%E5%95%A1%E5%BB%B3%E3%80%82%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%E3%80%82/data=!4m7!3m6!1s0x3442af12f11850c9:0x16db55203ccc3e9!8m2!3d25.090061!4d121.526194!16s%2Fg%2F11mw7nn23y!19sChIJyVAY8RKvQjQR6cPMA1K1bQE?authuser=0&hl=zh-TW&rclk=1
小鹿梅花糕deer’s flower cake,https://www.google.com.tw/maps/place/%E5%B0%8F%E9%B9%BF%E6%A2%85%E8%8A%B1%E7%B3%95deer%E2%80%99s+flower+cake/data=!4m7!3m6!1s0x3442afef4fee1c27:0x4f3f87498efd9276!8m2!3d25.0863079!4d121.5249585!16s%2Fg%2F11vj2n9fht!19sChIJJxzuT--vQjQRdpL9jkmHP08?authuser=0&hl=zh-TW&rclk=1
建發號傳統豆花,https://www.google.com.tw/maps/place/%E5%BB%BA%E7%99%BC%E8%99%9F%E5%82%B3%E7%B5%B1%E8%B1%86%E8%8A%B1/data=!4m7!3m6!1s0x3442aebacac91625:0x52e57899a692203b!8m2!3d25.0899584!4d121.5255595!16s%2Fg%2F1wn31c9g!19sChIJJRbJyrquQjQROyCSppl45VI?authuser=0&hl=zh-TW&rclk=1
Luv in Crepes 樂芙軟式可麗餅—提供外送下午茶,https://www.google.com.tw/maps/place/Luv+in+Crepes+%E6%A8%82%E8%8A%99%E8%BB%9F%E5%BC%8F%E5%8F%AF%E9%BA%97%E9%A4%85%E2%80%94%E6%8F%90%E4%BE%9B%E5%A4%96%E9%80%81%E4%B8%8B%E5%8D%88%E8%8C%B6/data=!4m7!3m6!1s0x3442aeb00004d69f:0x7a120be251f3a888!8m2!3d25.0901831!4d121.5269099!16s%2Fg%2F11b63c_zy2!19sChIJn9YEALCuQjQRiKjzUeILEno?authuser=0&hl=zh-TW&rclk=1
小路の氷屋 (巷弄冰菓室)｜Kakigori｜日式刨冰｜咖啡｜選物,https://www.google.com.tw/maps/place/%E5%B0%8F%E8%B7%AF%E3%81%AE%E6%B0%B7%E5%B1%8B+%28%E5%B7%B7%E5%BC%84%E5%86%B0%E8%8F%93%E5%AE%A4%29%EF%BD%9CKakigori%EF%BD%9C%E6%97%A5%E5%BC%8F%E5%88%A8%E5%86%B0%EF%BD%9C%E5%92%96%E5%95%A1%EF%BD%9C%E9%81%B8%E7%89%A9/data=!4m7!3m6!1s0x3442af6d1c4156d7:0xf6a17e21176c423b!8m2!3d25.0883039!4d121.525558!16s%2Fg%2F11stz8lrpy!19sChIJ11ZBHG2vQjQRO0JsFyF-ofY?authuser=0&hl=zh-TW&rclk=1
榕 RON,https://www.google.com.tw/maps/place/%E6%A6%95+RON/data=!4m7!3m6!1s0x3442aea4e7dae6cd:0x96b286ba2ec98dcd!8m2!3d25.091456!4d121.527133!16s%2Fg%2F11b6xkbkt7!19sChIJzeba56SuQjQRzY3JLrqGspY?authuser=0&hl=zh-TW&rclk=1
浩克甜品豆花冰店,https://www.google.com.tw/maps/place/%E6%B5%A9%E5%85%8B%E7%94%9C%E5%93%81%E8%B1%86%E8%8A%B1%E5%86%B0%E5%BA%97/data=!4m7!3m6!1s0x3442af399a343713:0x6db4e6310c72223b!8m2!3d25.0901465!4d121.5256627!16s%2Fg%2F11kwskz8yx!19sChIJEzc0mjmvQjQROyJyDDHmtG0?authuser=0&hl=zh-TW&rclk=1
以利泡泡冰-士林總店,https://www.google.com.tw/maps/place/%E4%BB%A5%E5%88%A9%E6%B3%A1%E6%B3%A1%E5%86%B0-%E5%A3%AB%E6%9E%97%E7%B8%BD%E5%BA%97/data=!4m7!3m6!1s0x3442aeb1c01ca653:0x1bccc6cbffd72f4b!8m2!3d25.0949952!4d121.5237312!16s%2Fg%2F12xqlx221!19sChIJU6YcwLGuQjQRSy_X_8vGzBs?authuser=0&hl=zh-TW&rclk=1
泰愛了 手工泰式奶茶 士林店,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%84%9B%E4%BA%86+%E6%89%8B%E5%B7%A5%E6%B3%B0%E5%BC%8F%E5%A5%B6%E8%8C%B6+%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af531269771d:0xc9b427075ba907a7!8m2!3d25.0894221!4d121.5243592!16s%2Fg%2F11smytbhtw!19sChIJHXdpElOvQjQRpwepWwcntMk?authuser=0&hl=zh-TW&rclk=1
ㄚ栗港式雞蛋仔,https://www.google.com.tw/maps/place/%E3%84%9A%E6%A0%97%E6%B8%AF%E5%BC%8F%E9%9B%9E%E8%9B%8B%E4%BB%94/data=!4m7!3m6!1s0x3442afe0609f1577:0xdf28533a14ac0254!8m2!3d25.089734!4d121.524156!16s%2Fg%2F11lnppcdvw!19sChIJdxWfYOCvQjQRVAKsFDpTKN8?authuser=0&hl=zh-TW&rclk=1
京都麻糬,https://www.google.com.tw/maps/place/%E4%BA%AC%E9%83%BD%E9%BA%BB%E7%B3%AC/data=!4m7!3m6!1s0x3442afdff87816d7:0x832b8805a8d1cfd4!8m2!3d25.089845!4d121.52536!16s%2Fg%2F11j86nw04c!19sChIJ1xZ4-N-vQjQR1M_RqAWIK4M?authuser=0&hl=zh-TW&rclk=1
金道英冰店,https://www.google.com.tw/maps/place/%E9%87%91%E9%81%93%E8%8B%B1%E5%86%B0%E5%BA%97/data=!4m7!3m6!1s0x3442af0064dbd363:0x3f248e53e39816e4!8m2!3d25.087977!4d121.525993!16s%2Fg%2F11ln1fd95p!19sChIJY9PbZACvQjQR5BaY41OOJD8?authuser=0&hl=zh-TW&rclk=1
琳記甜品,https://www.google.com.tw/maps/place/%E7%90%B3%E8%A8%98%E7%94%9C%E5%93%81/data=!4m7!3m6!1s0x3442afd4ac1e2a19:0xe8dcb23561e457b8!8m2!3d25.1029742!4d121.5219727!16s%2Fg%2F11q25lz7nh!19sChIJGSoerNSvQjQRuFfkYTWy3Og?authuser=0&hl=zh-TW&rclk=1
正當冰 簡餐咖啡廳【飯食/甜點/燒仙草/冰品/飲品】,https://www.google.com.tw/maps/place/%E6%AD%A3%E7%95%B6%E5%86%B0+%E7%B0%A1%E9%A4%90%E5%92%96%E5%95%A1%E5%BB%B3%E3%80%90%E9%A3%AF%E9%A3%9F%2F%E7%94%9C%E9%BB%9E%2F%E7%87%92%E4%BB%99%E8%8D%89%2F%E5%86%B0%E5%93%81%2F%E9%A3%B2%E5%93%81%E3%80%91/data=!4m7!3m6!1s0x3442af80fae038c9:0xf566a7e212160187!8m2!3d25.0848123!4d121.5206213!16s%2Fg%2F11h14k6x1n!19sChIJyTjg-oCvQjQRhwEWEuKnZvU?authuser=0&hl=zh-TW&rclk=1
