餐廳名稱,地址,餐廳連結,latitude,longitude,distance
小南鄭記台南碗粿（樂華夜市）,234新北市永和區永平路154號 ,https://www.google.com/maps/place/%E5%B0%8F%E5%8D%97%E9%84%AD%E8%A8%98%E5%8F%B0%E5%8D%97%E7%A2%97%E7%B2%BF%EF%BC%88%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%EF%BC%89/data=!4m7!3m6!1s0x3442a90078cc8b53:0x16bcd462a573eec5!8m2!3d25.0087909!4d121.5112317!16s%2Fg%2F11vq8yr5fb!19sChIJU4vMeACpQjQRxe5zpWLUvBY?authuser=0&hl=zh-TW&rclk=1,25.0087909,121.5086568,0.1641462532070916
阿爸の芋圓 樂華店,234新北市永和區保平路18巷1號 ,https://www.google.com/maps/place/%E9%98%BF%E7%88%B8%E3%81%AE%E8%8A%8B%E5%9C%93+%E6%A8%82%E8%8F%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9dcff982869:0x51ad8b29047e9216!8m2!3d25.0076477!4d121.5123365!16s%2Fg%2F1ptzzyg1v!19sChIJaSiY_9ypQjQRFpJ-BCmLrVE?authuser=0&hl=zh-TW&rclk=1,25.0076477,121.5097616,0.1130484151153632
快樂地瓜球（永和樂華總店）,234新北市永和區永平路59號 ,https://www.google.com/maps/place/%E5%BF%AB%E6%A8%82%E5%9C%B0%E7%93%9C%E7%90%83%EF%BC%88%E6%B0%B8%E5%92%8C%E6%A8%82%E8%8F%AF%E7%B8%BD%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a9c2e732f097:0xd03fb0bc9017c12c!8m2!3d25.0084253!4d121.512343!16s%2Fg%2F11c1n2b9xg!19sChIJl_Ay58KpQjQRLMEXkLywP9A?authuser=0&hl=zh-TW&rclk=1,25.0084253,121.5097681,0.0521535101677474
老牌黑輪,234新北市永和區永平路152巷口號 樂華夜市中間靠三叉路 ,https://www.google.com/maps/place/%E8%80%81%E7%89%8C%E9%BB%91%E8%BC%AA/data=!4m7!3m6!1s0x3442a9c376022005:0x17d24d020103c74e!8m2!3d25.0085572!4d121.5112963!16s%2Fg%2F1v2gbf_m!19sChIJBSACdsOpQjQRTscDAQJN0hc?authuser=0&hl=zh-TW&rclk=1,25.0085572,121.5087214,0.1556243260814847
下港排骨酥湯（僅外帶）,234新北市永和區保平路14號 ,https://www.google.com/maps/place/%E4%B8%8B%E6%B8%AF%E6%8E%92%E9%AA%A8%E9%85%A5%E6%B9%AF%EF%BC%88%E5%83%85%E5%A4%96%E5%B8%B6%EF%BC%89/data=!4m7!3m6!1s0x3442a9c2c75a2551:0x1d53b0e4301cd93a!8m2!3d25.0076463!4d121.5126053!16s%2Fg%2F1w15x3_4!19sChIJUSVax8KpQjQROtkcMOSwUx0?authuser=0&hl=zh-TW&rclk=1,25.0076463,121.5100304,0.1039248538455397
好吃雞肉【樂華店】,234新北市永和區永平路147號 ,https://www.google.com/maps/place/%E5%A5%BD%E5%90%83%E9%9B%9E%E8%82%89%E3%80%90%E6%A8%82%E8%8F%AF%E5%BA%97%E3%80%91/data=!4m7!3m6!1s0x3442a9214313e4c7:0xec04eedb46b09d3d!8m2!3d25.008512!4d121.511081!16s%2Fg%2F11frqwld54!19sChIJx-QTQyGpQjQRPZ2wRtvuBOw?authuser=0&hl=zh-TW&rclk=1,25.008512,121.5085061,0.1774374021831763
金門伯鹽酥雞（樂華夜市）,234新北市永和區永平路185號 ,https://www.google.com/maps/place/%E9%87%91%E9%96%80%E4%BC%AF%E9%B9%BD%E9%85%A5%E9%9B%9E%EF%BC%88%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%EF%BC%89/data=!4m7!3m6!1s0x3442a9005f54f863:0x31f1d300445ab29f!8m2!3d25.0093295!4d121.5102147!16s%2Fg%2F11x2p_12qr!19sChIJY_hUXwCpQjQRn7JaRADT8TE?authuser=0&hl=zh-TW&rclk=1,25.0093295,121.5076398,0.2781776163991871
樂華素食,234新北市永和區永平路38號 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E7%B4%A0%E9%A3%9F/data=!4m7!3m6!1s0x3442a9c28c405f35:0x648fc250a51652b5!8m2!3d25.0088852!4d121.5128988!16s%2Fg%2F11c539qg8q!19sChIJNV9AjMKpQjQRtVIWpVDCj2Q?authuser=0&hl=zh-TW&rclk=1,25.0088852,121.5103239,0.0365206163880965
（高）樂華潤餅捲,234新北市永和區永平路164號 ,https://www.google.com/maps/place/%EF%BC%88%E9%AB%98%EF%BC%89%E6%A8%82%E8%8F%AF%E6%BD%A4%E9%A4%85%E6%8D%B2/data=!4m7!3m6!1s0x3442a9c39f92000d:0xb1c8b3b77ac098a5!8m2!3d25.0088335!4d121.5108428!16s%2Fg%2F1pzyn0q5_!19sChIJDQCSn8OpQjQRpZjAerezyLE?authuser=0&hl=zh-TW&rclk=1,25.0088335,121.5082679,0.2036641136507262
方家園臭豆腐,234新北市永和區永平路26號 ,https://www.google.com/maps/place/%E6%96%B9%E5%AE%B6%E5%9C%92%E8%87%AD%E8%B1%86%E8%85%90/data=!4m7!3m6!1s0x3442a9c2bc9706a1:0x88ecbb1bb896ec8f!8m2!3d25.0089094!4d121.513289!16s%2Fg%2F1td4xk8_!19sChIJoQaXvMKpQjQRj-yWuBu77Ig?authuser=0&hl=zh-TW&rclk=1,25.0089094,121.5107141,0.0597397908297505
