餐廳名稱,餐廳地址,餐廳連結
花園夜市,704台南市北區海安路三段533號,https://www.google.com/maps/place/%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e7659ed76b0c7:0xa2380aab1510d45c!8m2!3d23.0110967!4d120.2003203!16s%2Fm%2F0cnxzw7!19sChIJx7B27Vl2bjQRXNQQFasKOKI?authuser=0&hl=zh-TW&rclk=1
大甲芋頭牛奶-花園夜市,704台南市北區,"https://www.google.com/maps/place/%E5%A4%A7%E7%94%B2%E8%8A%8B%E9%A0%AD%E7%89%9B%E5%A5%B6-%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82/@23.0112177,120.1974926,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7700234c770f:0x441d0dc20658c1a6!8m2!3d23.0112177!4d120.2000675!16s%2Fg%2F11x1fg9sfd?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
戰鬥雞油雞/醉雞 台南北區花園夜市創始…,704台南市北區海安路三段533號美食區第一條,"https://www.google.com/maps/place/%E6%88%B0%E9%AC%A5%E9%9B%9E+%E6%B2%B9%E9%9B%9E%2F%E9%86%89%E9%9B%9E+%E5%8F%B0%E5%8D%97%E5%8C%97%E5%8D%80%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82%E5%89%B5%E5%A7%8B%E5%BA%97+%EF%BD%9C%E6%B6%BC%E6%8B%8C%E9%AE%AE%E9%9B%9E%EF%BD%9C%E9%AE%AE%E7%87%99%E8%94%AC%E8%8F%9C%EF%BD%9C%E6%B3%B0%E5%BC%8F%E9%85%B8%E8%BE%A3%EF%BD%9C%E5%BF%85%E5%90%83%E6%B2%B9%E9%9B%9E%EF%BD%9C%E4%BA%BA%E6%B0%A3%E9%86%89%E9%9B%9E%EF%BD%9C%E5%81%A5%E8%BA%AB%E9%81%8B%E5%8B%95%EF%BD%9C%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92%EF%BD%9C%E5%A2%9E%E8%82%8C%E6%B8%9B%E8%84%82%EF%BD%9C%E5%A4%96%E5%B8%B6%E7%BE%8E%E9%A3%9F%EF%BD%9C%E7%89%B9%E8%89%B2%E5%B0%8F%E5%90%83%EF%BD%9C%E5%8F%B0%E5%8D%97%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6/@23.0111599,120.1975166,17z/data=!3m1!4b1!4m6!3m5!1s0x346e765982812a6b:0x1ccfaf7040bd58f4!8m2!3d23.0111599!4d120.2000915!16s%2Fg%2F11fy4ftj4n?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
東洲黑糖奶舖-夜市店,704台南市北區海安路三段533號出入口進來第一排一、二,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96-%E5%A4%9C%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x346e770edcd20dcb:0x206bdce72565c36!8m2!3d23.0113957!4d120.2003685!16s%2Fg%2F11stvs1nmt!19sChIJyw3S3A53bjQRNlxWcs69BgI?authuser=0&hl=zh-TW&rclk=1
黃家乾燒蛤蜊,704台南市北區,"https://www.google.com/maps/place/%E9%BB%83%E5%AE%B6%E4%B9%BE%E7%87%92%E8%9B%A4%E8%9C%8A/@23.011081,120.1974306,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77ec45a5d547:0xcbc19a4fd4566e29!8m2!3d23.011081!4d120.2000055!16s%2Fg%2F11sw0w7ns4?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
麻糬叔叔,704台南市北區花園夜市、大東夜市,"https://www.google.com/maps/place/%E9%BA%BB%E7%B3%AC%E5%8F%94%E5%8F%94/@23.0110354,120.1975359,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7659f0f8ce75:0xfa2c8111d676ba48!8m2!3d23.0110354!4d120.2001108!16s%2Fg%2F1td0krpj?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
膳品香酥排骨,704台南市北區,https://www.google.com/maps/place/%E8%86%B3%E5%93%81%E9%A6%99%E9%85%A5%E6%8E%92%E9%AA%A8/data=!4m7!3m6!1s0x0:0x61f80706b15f32d7!8m2!3d23.0110029!4d120.2000337!16s%2Fg%2F11gd1v98c6!19sChIJAAAAAAAAAAAR1zJfsQYH-GE?authuser=0&hl=zh-TW&rclk=1
梅花糕-功夫燒(花園夜市),704台南市北區海安路三段533號,"https://www.google.com/maps/place/%E6%A2%85%E8%8A%B1%E7%B3%95-%E5%8A%9F%E5%A4%AB%E7%87%92%EF%BC%88%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82%EF%BC%89/@23.0110575,120.1976388,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77006d5b8af1:0xcd768e964c800ee7!8m2!3d23.0110575!4d120.2002137!16s%2Fg%2F11lcm20_qh?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
趙記麻辣臭豆腐「花園」,704台南市北區花園夜市,"https://www.google.com/maps/place/%E8%B6%99%E8%A8%98%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90%E3%80%8C%E8%8A%B1%E5%9C%92%E3%80%8D/@23.0111607,120.1977521,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77151be976f9:0xe501f32dc7cafe81!8m2!3d23.0111607!4d120.200327!16s%2Fg%2F11trsb75z6?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
花園夜市干貝燒,704台南市北區,"https://www.google.com/maps/place/%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82%E5%B9%B2%E8%B2%9D%E7%87%92/@23.0110952,120.1972368,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77cbef407f27:0x14991134384a9df8!8m2!3d23.0110952!4d120.1998117!16s%2Fg%2F11vclvmxbq?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
澳門咖喱榮,704台南市北區,https://www.google.com/maps/place/%E6%BE%B3%E9%96%80%E5%92%96%E5%96%B1%E6%A6%AE/data=!4m7!3m6!1s0x346e76598ef78d99:0x2bcb74951eb69015!8m2!3d23.0110995!4d120.1998727!16s%2Fg%2F11f2xp5gr0!19sChIJmY33jll2bjQRFZC2HpV0yys?authuser=0&hl=zh-TW&rclk=1
銀河碼頭-岩燒、酥皮濃湯,704台南市北區,"https://www.google.com/maps/place/%E9%8A%80%E6%B2%B3%E7%A2%BC%E9%A0%AD-%E5%B2%A9%E7%87%92%E3%80%81%E9%85%A5%E7%9A%AE%E6%BF%83%E6%B9%AF/@23.0109563,120.1971771,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77004471e031:0x5f9dc0c7c74b42f5!8m2!3d23.0109563!4d120.199752!16s%2Fg%2F11lypkc0x6?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
冠軍總店木瓜牛奶,704台南市北區,"https://www.google.com/maps/place/%E5%86%A0%E8%BB%8D%E7%B8%BD%E5%BA%97%E6%9C%A8%E7%93%9C%E7%89%9B%E5%A5%B6/@23.0107896,120.1970819,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7659814a088f:0xf2ecc32524394889!8m2!3d23.0107896!4d120.1996568!16s%2Fg%2F11f_j3lrm5?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
玉米杯杯 FRESH CORN CUP,704台南市北區704,"https://www.google.com/maps/place/%E7%8E%89%E7%B1%B3%E6%9D%AF%E6%9D%AF+FRESH+CORN+CUP/@23.0107292,120.1970645,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7726c82c9aef:0x40d9b6cd5d3eb96c!8m2!3d23.0107292!4d120.1996394!16s%2Fg%2F11tjh9p7by?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
蔡家臭豆腐豬血湯,704台南市北區,https://www.google.com/maps/place/%E8%94%A1%E5%AE%B6%E8%87%AD%E8%B1%86%E8%85%90%E8%B1%AC%E8%A1%80%E6%B9%AF/data=!4m7!3m6!1s0x346e77004daa5f73:0xf0e57f75477a7838!8m2!3d23.010699!4d120.19971!16s%2Fg%2F11vm4mmlv1!19sChIJc1-qTQB3bjQROHh6R3V_5fA?authuser=0&hl=zh-TW&rclk=1
天王牛排,704台南市北區海安路三段350號,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e770042c743af:0xd799cc43d22b5415!8m2!3d23.0107495!4d120.1998302!16s%2Fg%2F11vyy96stl!19sChIJr0PHQgB3bjQRFVQr0kPMmdc?authuser=0&hl=zh-TW&rclk=1
全壘打牛排,704台南市北區,https://www.google.com/maps/place/%E5%85%A8%E5%A3%98%E6%89%93%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e777fd6a58d5b:0x98046a2c36aac649!8m2!3d23.0104211!4d120.200071!16s%2Fg%2F11kqt69s6q!19sChIJW42l1n93bjQRScaqNixqBJg?authuser=0&hl=zh-TW&rclk=1
新加坡邋撒麵,704台南市北區海安路三段350號,https://www.google.com/maps/place/%E6%96%B0%E5%8A%A0%E5%9D%A1%E9%82%8B%E6%92%92%E9%BA%B5/data=!4m7!3m6!1s0x346e770077eb67e9:0x5a282f4c0064809a!8m2!3d23.0107508!4d120.1998577!16s%2Fg%2F11y3tyhp4z!19sChIJ6WfrdwB3bjQRmoBkAEwvKFo?authuser=0&hl=zh-TW&rclk=1
大上海小火鍋,704台南市北區704,https://www.google.com/maps/place/%E5%A4%A7%E4%B8%8A%E6%B5%B7%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x346e7743c88b6303:0xa68ab08a11c561e3!8m2!3d23.0107986!4d120.1998521!16s%2Fg%2F11v1194k2w!19sChIJA2OLyEN3bjQR42HFEYqwiqY?authuser=0&hl=zh-TW&rclk=1
紅妃大腸香腸,704台南市北區,"https://www.google.com/maps/place/%E7%B4%85%E5%A6%83%E5%A4%A7%E8%85%B8%E9%A6%99%E8%85%B8/@23.0108211,120.1973612,17z/data=!3m1!4b1!4m6!3m5!1s0x346e773f8e0710b9:0x3acc78aba020f8db!8m2!3d23.0108211!4d120.1999361!16s%2Fg%2F11v1blqt7j?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
台南花園夜市 濃芝濃烤玉米,704台南市北區海安路三段533號,"https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82+%E6%BD%98%E8%8D%96%E6%BF%83%E7%83%A4%E7%8E%89%E7%B1%B3/@23.0108088,120.197443,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77f78c727d4b:0xc0f199a433a3c79!8m2!3d23.0108088!4d120.2000179!16s%2Fg%2F11f6l18jl7?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
囍館燒肉丼專門(花園夜市店),704台南市北區海安路三段與號和緯路三段交叉口 ( 花園夜市內,"https://www.google.com/maps/place/%E5%87%BD%E9%A4%A8+%E7%87%92%E8%82%89%E4%B8%BC%E5%B0%88%E9%96%80%EF%BC%88%E8%8A%B1%E5%9C%92%E5%A4%9C%E5%B8%82%E5%BA%97%EF%BC%89/@23.0108421,120.1974487,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77ba200e72c5:0x7c64a9e9d17f7bf3!8m2!3d23.0108421!4d120.2000236!16s%2Fg%2F11tcs4y3hk?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
花園冠軍木瓜牛奶,704台南市北區,"https://www.google.com/maps/place/%E8%8A%B1%E5%9C%92%E5%86%A0%E8%BB%8D%E6%9C%A8%E7%93%9C%E7%89%9B%E5%A5%B6/@23.0109436,120.1973565,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77d959e4c759:0xc64a01ea0bc99c9e!8m2!3d23.0109436!4d120.1999314!16s%2Fg%2F11kpsmbt59?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoASAFQAw%3D%3D"
