餐廳名稱,餐廳地址,餐廳連結
四川麻辣串串香-崇德店,701台南市東區崇德路376號,https://www.google.com/maps/place/%E5%9B%9B%E5%B7%9D%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99-%E5%B4%87%E5%BE%B7%E5%BA%97/data=!4m7!3m6!1s0x346e769e245b99c5:0xd0c7172f00752ee2!8m2!3d22.975995!4d120.2244796!16s%2Fg%2F11c1s5n8vt!19sChIJxZlbJJ52bjQR4i51AC8Xx9A?authuser=0&hl=zh-TW&rclk=1
好吃樂蔥抓餅,701台南市東區林森路一段276號,https://www.google.com/maps/place/%E5%A5%BD%E5%90%83%E6%A8%82%E8%94%A5%E6%8A%93%E9%A4%85/data=!4m7!3m6!1s0x346e769b7035239f:0x7cb3a4fd2814b18c!8m2!3d22.982903!4d120.218897!16s%2Fg%2F11f6kdn66r!19sChIJnyM1cJt2bjQRjLEUKP2ks3w?authuser=0&hl=zh-TW&rclk=1
林桑鹽水雞油雞醉雞（台南大東店）,701台南市東區,"https://www.google.com/maps/place/%E6%9E%97%E6%A1%91%E9%B9%BD%E6%B0%B4%E9%9B%9E%E6%B2%B9%E9%9B%9E%E9%86%89%E9%9B%9E+(%E5%8F%B0%E5%8D%97%E5%A4%A7%E6%9D%B1%E5%BA%97)/@22.9828015,120.21637,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7756dd5eac9f:0x7327885889a91954!8m2!3d22.9828015!4d120.2189449!16s%2Fg%2F11txfbtxl0?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
Dizzy Bar 冰淇淋,701台南市東區林森路一段2號大東東夜市10排,"https://www.google.com/maps/place/Dizzy+Bar/@22.9828579,120.2164356,17z/data=!3m1!4b1!4m6!3m5!1s0x346e770c4b136f4b:0xda98a5d3863f77fd!8m2!3d22.9828579!4d120.2190105!16s%2Fg%2F11h_8v8mw0?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
三師兄古早味滷味 大東東夜市,701台南市東區林森路一段,"https://www.google.com/maps/place/%E4%BA%8C%E5%B8%AB%E5%85%84%E5%8F%A4%E6%97%A9%E5%91%B3%E6%BB%B7%E5%91%B3-%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82%EF%BC%88%E9%9B%96%E7%84%B6%E6%94%B9%E7%82%BA%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82%E4%BD%86%E9%82%84%E6%98%AF%E4%BB%A5%E8%88%8A%E4%BD%8D%E7%BD%AE%E7%B9%BC%E7%BA%8C%E6%93%BA%E6%94%A4%EF%BC%89/@22.9829056,120.2164584,17z/data=!3m1!4b1!4m6!3m5!1s0x346e769ba326989f:0x58342f0b3c526f68!8m2!3d22.9829056!4d120.2190333!16s%2Fg%2F1tdpcyx3?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
mini果 果汁牛奶專賣店,701台南市東區林森路一段316號,"https://www.google.com/maps/place/mini%E6%9E%9C+%E6%9E%9C%E6%B1%81%E7%89%9B%E5%A5%B6%E5%B0%88%E8%B3%A3%E5%BA%97/@22.9829751,120.2168454,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7700446ebb9b:0xce66e257dab26b99!8m2!3d22.9829751!4d120.2194203!16s%2Fg%2F11ld2sv1ps?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
膳品香酥排骨,701台南市東區林森路一段276號,https://www.google.com/maps/place/%E8%86%B3%E5%93%81%E9%A6%99%E9%85%A5%E6%8E%92%E9%AA%A8/data=!4m7!3m6!1s0x346e769b76e4e805:0xbcdca7352545fdc1!8m2!3d22.983003!4d120.2192638!16s%2Fg%2F11f3x9028r!19sChIJBejkdpt2bjQRwf1FJTWn3Lw?authuser=0&hl=zh-TW&rclk=1
德聖炭烤醬燒雞排,701台南市東區林森路一段701號,"https://www.google.com/maps/place/%E5%BE%B7%E8%81%96%E7%82%AD%E7%83%A4%E9%86%AC%E7%87%92%E9%9B%9E%E6%8E%92%EF%BC%88%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82%EF%BC%89/@22.9827768,120.2166825,17z/data=!3m1!4b1!4m6!3m5!1s0x346e776cbb7217ef:0x686a3e4658648752!8m2!3d22.9827768!4d120.2192574!16s%2Fg%2F11kqbmnvhw?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
新曼谷泰式純檸檬涼拌青木瓜絲,701台南市東區,"https://www.google.com/maps/place/%E6%96%B0%E6%9B%BC%E8%B0%B7%E6%B3%B0%E5%BC%8F%E7%B4%94%E6%AA%B8%E6%AA%AC%E6%B6%BC%E6%8B%8C%E9%9D%92%E6%9C%A8%E7%93%9C%E7%B5%B2/@22.9826623,120.2164495,17z/data=!3m1!4b1!4m6!3m5!1s0x346e770046e3840f:0x1c693b89c8ac9b85!8m2!3d22.9826623!4d120.2190244!16s%2Fg%2F11vpy3d99p?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
天王牛排,701台南市東區,https://www.google.com/maps/place/%E5%A4%A9%E7%8E%8B%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e77001a9f5b1b:0x8c3f9268084a51d0!8m2!3d22.98269!4d120.2191176!16s%2Fg%2F11ld2st8p3!19sChIJG1ufGgB3bjQR0FFKCGiSP4w?authuser=0&hl=zh-TW&rclk=1
