餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
阿河豆乳雞豆乳翅,愛吃的豬豬,117 則評論 · 377 張相片,1 年前,5 顆星,"這家豆乳雞真的很好吃
他的雞脖子比頂呱呱還好吃"
阿河豆乳雞豆乳翅,曼陀螺,"在地嚮導 · 1,201 則評論 · 31,569 張相片",1 年前,5 顆星,沒有吃過豆乳雞豆乳翅的朋友可以吃看看，中年人創業不易值得多多支持。推薦給在地鄉親及來武聖玩的朋友。
函館日式丼飯-台南武聖夜市店,頭份分隊,1 則評論,4 週前,5 顆星,
函館日式丼飯-台南武聖夜市店,Katie K,在地嚮導 · 18 則評論 · 12 張相片,2 個月前,1 顆星,"老闆請我們直接點餐不用寫單，結果比我們晚來的在兩分鐘內拿到餐點。我們坐了十分鐘，老闆都沒有發現自己沒有做餐。
當下沒有其他客人，令人不解怎麼會漏掉。"
函館日式丼飯-台南武聖夜市店,吳銘豪,在地嚮導 · 395 則評論 · 178 張相片,1 年前,5 顆星,
函館日式丼飯-台南武聖夜市店,黃楙棊,8 則評論 · 7 張相片,1 年前,5 顆星,
326臭臭鍋,皮小丘,"在地嚮導 · 221 則評論 · 3,056 張相片",8 個月前,5 顆星,
326臭臭鍋,曼陀螺,"在地嚮導 · 1,201 則評論 · 31,569 張相片",1 年前,5 顆星,CP值很高的小火鍋店，武聖必吃店家，推薦給各位。
326臭臭鍋,Olivia Chou,在地嚮導 · 53 則評論 · 122 張相片,1 年前,5 顆星,價格實惠，餐點好吃。熱門時段會很多人要耐心等待座位。值得一吃。
326臭臭鍋,金玉の旅遊部落格,"在地嚮導 · 266 則評論 · 1,689 張相片",1 年前,5 顆星,"幾年前在職訓上課的時候 剛好看到隱藏在夜市看起來CP值很高的小火鍋店 ！？
那天下課就特別約了職訓同學一起來吃 真的CP值很高 那時候一鍋牛雜+一碗白飯100元解決 完全是下課後的小確幸！
-
牛雜鍋給的牛雜一點也不小氣 還給了一大塊吸附滿滿湯頭的深坑臭豆腐 臭氣四溢超爽🤣
原本以為口味上會普普通通 吃完後認真覺得可以無限回購 加上帶了男朋友去吃也超喜歡！ 已經不知道買了幾次 從100元有找到現在140元了還是覺得很划算！
-
還有吃過什錦鍋、腸旺鍋、大腸鴨血鍋 價位上雖然有差別 如果對牛雜膩了真的可以試試大腸鴨血鍋 料超多 湯頭很清甜加辣更過癮 鴨血也不會說沒入味 大腸就像圖片中的一樣很大！大腸鴨血很超值😍
甚至現在最愛吃的是大腸鴨血鍋！ 可惜的是豆腐不是跟牛雜鍋一樣一大塊⋯不過也算多了！想吃少一點就可以點腸旺鍋🤤🤤
-
我都在善化夜市買的 離家裡比較近 這是第一間可以讓我突然想吃就騎摩托車去買的火鍋攤🤤
缺點大概只有每次都要等很久🫠  夏天竟然也是要等20分以上的😵
要吃到CP值高的餐點 付出一點勞力是值得的哈哈😂"
吉哆啦銅鑼燒,YZ Liam,127 則評論 · 3 張相片,1 個月前,5 顆星,讚！
吉哆啦銅鑼燒,陳燕生,2 則評論 · 17 張相片,7 個月前,5 顆星,
吉哆啦銅鑼燒,家誼,在地嚮導 · 14 則評論 · 7 張相片,10 個月前,5 顆星,
吉哆啦銅鑼燒,Huang睿鈺（Ray）,"在地嚮導 · 746 則評論 · 2,145 張相片",10 個月前,5 顆星,小銅鑼燒
吉哆啦銅鑼燒,微笑,13 則評論 · 2 張相片,1 年前,5 顆星,非常好吃的銅鑼燒🧡
吉哆啦銅鑼燒,小軟,"在地嚮導 · 132 則評論 · 1,100 張相片",1 年前,5 顆星,"最近很喜愛的銅鑼燒
12入100 6入60
有很多種口味選擇
單吃銅鑼燒不加料也好吃
比較偏乾 但我覺得還不錯 布丁奶油很不錯"
吉哆啦銅鑼燒,曼陀螺,"在地嚮導 · 1,201 則評論 · 31,569 張相片",1 年前,5 顆星,生意很好的銅鑼燒，排隊需要15分鐘，口味很多，餅皮不是我喜歡的那種，餡料不錯，推薦給大家試試。
35年老店現煎小鳥蛋（小志．武聖．宗霖）,Y I,"在地嚮導 · 1,846 則評論 · 9,946 張相片",10 個月前,5 顆星,"7顆$35
12顆$50

可以選擇兩種醬，這次點醬油膏跟海苔粉

他們的海苔粉是海苔鹽，有點過鹹😂"
2486辣脆腸,william (陳),在地嚮導 · 139 則評論 · 91 張相片,6 天前,1 顆星,老闆很厭世，東西沒有預想的好吃 沒味道
2486辣脆腸,鄭阿嵐,"在地嚮導 · 698 則評論 · 3,090 張相片",3 個月前,4 顆星,"🌸評論很差，但現場在地人很多，我還是排隊來試。先說結論：東西實在入味、好吃、便宜，蔬菜1份才20元，特別推薦蘿蔔、四季豆等。招牌脆腸個人覺得偏硬但可接受。
👉評論差是來自老闆「態度」，觀察現場只有1個人確實忙不過來，導致口氣比較不友善。建議至少可作購買告知事項（如夾1個代表1份、只能現場排等、要辣請先說等）來分攤些事務，可能會較佳。
➡️整體而言，下次再來武聖夜市，這家是回購名單。"
2486辣脆腸,Russell Tong,3 則評論 · 4 張相片,3 個月前,1 顆星,"脆腸真的超老 難吃到不行
老闆娘也超搞笑的 後面一堆人排隊放著不理 自己去擺弄食物 把食物左放到右 右放到左 袋子裡的湯汁倒一倒 一堆人看著她弄了十分鐘 硬是沒補貨 不知道在幹嘛 態度還超差 翻十個白眼🙄
沒吃過那麼難吃的脆腸"
2486辣脆腸,葉偉澤,"在地嚮導 · 273 則評論 · 3,110 張相片",4 個月前,5 顆星,不過不失
2486辣脆腸,黃阿莫,13 則評論 · 2 張相片,4 個月前,1 顆星,女的態度差 食物有夠普 值得六星評論
2486辣脆腸,Justin,在地嚮導 · 166 則評論 · 84 張相片,5 個月前,1 顆星,
2486辣脆腸,李惠珍,8 則評論 · 1 張相片,9 個月前,2 顆星,老闆娘很有個性，問了也不太回答不知道是幾個意思，其中點了一份筍片有算錢但整包滷味裡面卻只有我夾的那片真的很傻眼！
2486辣脆腸,黑暗（addq2211501）,15 則評論 · 8 張相片,9 個月前,5 顆星,超好吃 尤其是茭白筍
2486辣脆腸,Z L,在地嚮導 · 45 則評論 · 7 張相片,10 個月前,1 顆星,"脆腸沒了不會先說 要自己問
好不容易排到才說沒了
一副你要其他的就點其他的 不要就直接離開
要不要改名叫2486辣滷味"
2486辣脆腸,56施盈如,在地嚮導 · 40 則評論 · 25 張相片,11 個月前,5 顆星,
2486辣脆腸,Nicholas Lee,在地嚮導 · 34 則評論 · 17 張相片,1 年前,1 顆星,老闆娘真的很可悲。出來做生意怨氣那麼大做什麼？？沒人欠你，你是在兇什麼？怪不得看起來身體那麼差。可憐
2486辣脆腸,吳函育,10 則評論 · 3 張相片,1 年前,5 顆星,"老闆比較有原則
✔️盆子不能直接放在食物上
✔️夾一個就是要一份
✔️錢不能放桌上，因為桌上有食物
✔️可以調整醬料
整體來說，環境很乾淨，東西很便宜又好吃，排隊也很快！會再持續購買👍🏻"
2486辣脆腸,陳鏡方,在地嚮導 · 50 則評論 · 7 張相片,1 年前,5 顆星,"老闆娘態度 問答時不太耐煩
但東西好吃而且便宜 還是給了五星
肝連肉、豬心 40塊 給的蠻大塊
其他蔬菜、辣脆腸 吃起來也蠻新鮮的

一人作業 手腳算蠻快的
人不多去排的 前面三張單
大概等了5-6分鐘 還行"
2486辣脆腸,陳小麗,在地嚮導 · 24 則評論 · 7 張相片,1 年前,1 顆星,東西好吃，但是店員只有一位（她很忙碌，火氣也很大，態度不是很友善）真的要等超久，吃美食要有心理準備，如果老闆多點親切，客人應該也很願意等吧！！！！
2486辣脆腸,阿彣,在地嚮導 · 33 則評論 · 6 張相片,1 年前,1 顆星,
2486辣脆腸,M.H. Chiou,3 則評論 · 2 張相片,1 年前,1 顆星,排隊也不說排哪裡，根本隨便插隊隨便用搶的，等到一肚子氣，服務態度極差！
2486辣脆腸,花花,在地嚮導 · 53 則評論 · 18 張相片,1 年前,5 顆星,東西便宜！調味也很好吃！
京典酵素臭豆腐武聖店,陳灌希,在地嚮導 · 64 則評論 · 67 張相片,6 天前,3 顆星,"不酥也不脆也不臭服務態度很差沒有半個人購買 全部炸好在台上 胡椒粉要求多一點也捨不得撒 這種的酵素豆腐是酥脆超臭外酥內軟的
這家沒有一樣符合只有價錢是一致👍"
京典酵素臭豆腐武聖店,P Conor,在地嚮導 · 34 則評論 · 23 張相片,2 個月前,5 顆星,超 好 吃！
京典酵素臭豆腐武聖店,鄭阿嵐,"在地嚮導 · 698 則評論 · 3,090 張相片",3 個月前,4 顆星,不錯吃耶。外酥內嫩，炸得也不會刮嘴，豆腐也都很大塊，吃起來滿足。酵素應該是泡菜浸味，可推薦。
京典酵素臭豆腐武聖店,柴爸幸福吃喝,在地嚮導 · 192 則評論 · 957 張相片,7 個月前,4 顆星,"大100元

很酥脆但少了臭豆腐的臭味

普通還行"
京典酵素臭豆腐武聖店,戴小薇,8 則評論 · 1 張相片,9 個月前,4 顆星,在武聖夜市第一行，因為它的好處是他是用非基因改造的臭豆腐去做的，建議要吃的人可以早點去吃，比較不會吃到別人炸剩下的油
京典酵素臭豆腐武聖店,Chiu-hsia Liao,在地嚮導 · 113 則評論 · 265 張相片,1 年前,5 顆星,"炸豆腐外酥內嫩，胡椒粉很香
小份$70、大份$100
值得再訪😋"
京典酵素臭豆腐武聖店,Amber,在地嚮導 · 219 則評論 · 160 張相片,1 年前,1 顆星,長頭髮女生不知道在瞎忙什麼 ，要客人按照指示排隊然後其他人直接從前面插隊點餐？？有夠白癡的店家
臭YO薯（臭薯條）,吳昱緹,9 則評論 · 1 張相片,4 個月前,5 顆星,真的爆好吃！
臭YO薯（臭薯條）,eva wu,在地嚮導 · 18 則評論 · 5 張相片,2 年前,5 顆星,"第一次嚐鮮臭yo薯，很特別、很好吃
什麼最好吃呢？椒鹽、泰式、孜然"
臭YO薯（臭薯條）,sevenbee,7 則評論 · 11 張相片,2 年前,5 顆星,推薦椒鹽和泰式口味，值得一試喔～
臭YO薯（臭薯條）,朱修驛,在地嚮導 · 22 則評論,2 年前,5 顆星,
臭YO薯（臭薯條）,緋村梨絵,6 則評論,2 年前,5 顆星,
臭YO薯（臭薯條）,Chen Amanda,在地嚮導 · 23 則評論 · 3 張相片,2 年前,5 顆星,口味非常獨特好吃😋值得一吃再吃👍 …
臭YO薯（臭薯條）,calvin shi,在地嚮導 · 3 則評論 · 3 張相片,2 年前,5 顆星,經過買來試吃，口感蠻不錯的，會再蒞臨購買~
臭YO薯（臭薯條）,林孟民,4 則評論,2 年前,5 顆星,點了番茄和咖喱口味，都好吃😋 …
臭YO薯（臭薯條）,roan shin-an-,8 則評論 · 6 張相片,2 年前,5 顆星,
臭YO薯（臭薯條）,里見琴葉,7 則評論 · 8 張相片,2 年前,5 顆星,千萬不要試吃！！！因為試吃就會不小心又多買一包宵夜回家，怎麼能這麼好吃，下次還想再買🤤🤤🤤 …
臭YO薯（臭薯條）,Mei Mei,9 則評論 · 7 張相片,2 年前,5 顆星,推薦椒鹽和泰式口味真的很好吃，口感內軟外酥，新奇又特別，讓人一口接一口，一定會再回購的。
臭YO薯（臭薯條）,十二少,5 則評論,2 年前,5 顆星,本以為就是普通的臭豆腐，但試吃後～讚！既方便食用又好吃！
臭YO薯（臭薯條）,吳雅芳,在地嚮導 · 4 則評論 · 1 張相片,2 年前,5 顆星,
臭YO薯（臭薯條）,曾佰祥,,2 年前,5 顆星,
GMW96雞蛋臭豆腐,曼陀螺,"在地嚮導 · 1,201 則評論 · 31,569 張相片",1 年前,5 顆星,特殊口味，值得試試看。
一加一臭豆腐,張淳,在地嚮導 · 41 則評論 · 38 張相片,8 個月前,1 顆星,60元，慎選
一加一臭豆腐,蔣聲源,在地嚮導 · 97 則評論 · 505 張相片,11 個月前,2 顆星,聞起來香，但吃起來味道不行
一加一臭豆腐,買可樂高手,在地嚮導 · 38 則評論 · 17 張相片,1 年前,1 顆星,"態度非常差！
外帶的臭豆腐吃兩口就丟夜市垃圾桶了！"
一加一臭豆腐,星が輝く夜,在地嚮導 · 44 則評論 · 1 張相片,1 年前,4 顆星,滿讚的
一加一臭豆腐,哲哲,在地嚮導 · 19 則評論 · 2 張相片,1 年前,1 顆星,"要不是另一家打烊也不會來消費,臭豆腐量少泡菜更少,辣椒就不辣還要一直強調朝天椒,店家態度真夠差"
武聖真好味臭臭鍋,Alice,在地嚮導 · 52 則評論 · 67 張相片,2 週前,3 顆星,"牛肉鍋$170小貴
肉質不錯
環境不優，需等待"
武聖真好味臭臭鍋,Rain Ya,在地嚮導 · 45 則評論 · 13 張相片,4 週前,5 顆星,好吃
武聖真好味臭臭鍋,Teresa Lee,12 則評論 · 1 張相片,1 個月前,4 顆星,服務態度親切，火鍋好吃，價位實在
武聖真好味臭臭鍋,蔡永霖,在地嚮導 · 8 則評論 · 6 張相片,2 個月前,5 顆星,
武聖真好味臭臭鍋,鍾布丁,9 則評論 · 7 張相片,2 個月前,2 顆星,"常常會來的小火鍋店
今天外帶回家吃
飯吃到一半想說怎麼嘴巴刺刺的..
結果是很利的塑膠片……..

多給一顆星是因為店員很親切😂
但如果飯裡塑膠片這麼尖感覺很危險..
還好邊吃邊看影片吃很慢
不然吞下去就慘了

希望店家可以注意這方面問題"
武聖真好味臭臭鍋,李承翰,在地嚮導 · 47 則評論 · 4 張相片,3 個月前,5 顆星,嗚ㄚ
武聖真好味臭臭鍋,Ariel Ariel,在地嚮導 · 101 則評論 · 160 張相片,3 個月前,1 顆星,冬粉和科學麵居然沒分開，回家火鍋完全被吸乾，麵也都膨脹
武聖真好味臭臭鍋,沈依潔,在地嚮導 · 36 則評論 · 2 張相片,4 個月前,1 顆星,第一次買海鮮豆腐鍋 不知道現在物價這麼高 海鮮鍋沒有蝦子沒有蛤蜊 只有兩片機器切的魷魚……是還不錯吃 服務也很好 可是CP值好像不夠呢…
武聖真好味臭臭鍋,pu pu,8 張相片,5 個月前,1 顆星,
武聖真好味臭臭鍋,小小魚,在地嚮導 · 163 則評論 · 294 張相片,6 個月前,5 顆星,"餐點火鍋是不錯，覺得挺新鮮的，
就是那台飲料機，飲料味道都很奇怪....
店家說每天洗ㄝ，不知道為啥 飲料味道就是跟一般汽水都不同"
武聖真好味臭臭鍋,張靜茹,7 則評論 · 4 張相片,6 個月前,5 顆星,"店員很親切❤️
火鍋好吃😋湯頭超好喝👍"
武聖真好味臭臭鍋,ShuLin,在地嚮導 · 64 則評論 · 5 張相片,7 個月前,4 顆星,"海鮮鍋說沒有蝦子了換成蛤蜊，我也回覆OK
回家吃怎麼撈就只有2顆…現在海鮮鍋已經沒有蛤蜊了嗎🥹"
武聖真好味臭臭鍋,Kai Kai,2 則評論,8 個月前,1 顆星,食物中毒 住院4天 有待加強
