夜市名稱,餐廳名稱,餐廳地址,餐廳連結
武聖夜市,武聖夜市 全壘打牛排,700台南市中西區武聖路69巷40弄24號,https://www.google.com/maps/place/%E6%AD%A6%E8%81%96%E5%A4%9C%E5%B8%82+%E5%85%A8%E5%A3%98%E6%89%93%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e7713e4c1be97:0x535c03d34e871ce5!8m2!3d23.0048772!4d120.1910444!16s%2Fg%2F11y6j87bv9!19sChIJl77B5BN3bjQR5RyHTtMDXFM?authuser=0&hl=zh-TW&rclk=1
武聖夜市,全壘打牛排武聖店,704台南市北區武聖路130號,https://www.google.com/maps/place/%E5%85%A8%E5%A3%98%E6%89%93%E7%89%9B%E6%8E%92%E6%AD%A6%E8%81%96%E5%BA%97/data=!4m7!3m6!1s0x346e778e4eb618ab:0x102398f75bad15a1!8m2!3d23.0064779!4d120.1904458!16s%2Fg%2F11gzbbxthf!19sChIJqxi2To53bjQRoRWtW_eYIxA?authuser=0&hl=zh-TW&rclk=1
武聖夜市,阿誠牛肉湯,700台南市中西區武聖路69巷40弄4號,"https://www.google.com/maps/place/%E9%98%BF%E8%AA%A0%E7%89%9B%E8%82%89%E6%B9%AF/@23.004774,120.1885957,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7643aaaaaaab:0xcdf45ab91cf7bd63!8m2!3d23.004774!4d120.1911706!16s%2Fg%2F12hk7zmzf?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,洋金菸酒,700台南市中西區武聖路69巷40弄12號,https://www.google.com/maps/place/%E6%B4%8B%E9%87%91%E8%8F%B8%E9%85%92/data=!4m7!3m6!1s0x346e77fd517e5e49:0x19d51bf34caf81f0!8m2!3d23.0047758!4d120.1910328!16s%2Fg%2F11w37bh806!19sChIJSV5-Uf13bjQR8IGvTPMb1Rk?authuser=0&hl=zh-TW&rclk=1
武聖夜市,無敵banana,700台南市中西區武聖路69巷42號,https://www.google.com/maps/place/%E7%84%A1%E6%95%B5banana/data=!4m7!3m6!1s0x346e77774e23edcd:0xc0171225402a341c!8m2!3d23.0038867!4d120.1906493!16s%2Fg%2F11sth_q15l!19sChIJze0jTnd3bjQRHDQqQCUSF8A?authuser=0&hl=zh-TW&rclk=1
武聖夜市,武聖夜市 古早味 麵煎嗲 30年老店,700台南市中西區武聖路69巷40號,https://www.google.com/maps/place/%E6%AD%A6%E8%81%96%E5%A4%9C%E5%B8%82+%E5%8F%A4%E6%97%A9%E5%91%B3+%E9%BA%B5%E7%85%8E%E5%97%B2+30%E5%B9%B4%E8%80%81%E5%BA%97/data=!4m7!3m6!1s0x346e77e0917038a3:0x82629df12af3de52!8m2!3d23.0044961!4d120.1905668!16s%2Fg%2F11vx4gzfn_!19sChIJozhwkeB3bjQRUt7zKvGdYoI?authuser=0&hl=zh-TW&rclk=1
武聖夜市,大眾洋行 菸酒專賣店,700台南市中西區武聖路265號,https://www.google.com/maps/place/%E5%A4%A7%E7%9C%BE%E6%B4%8B%E8%A1%8C+%E8%8F%B8%E9%85%92%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x346e7643d4ca74a3:0xcb1761def7934e2e!8m2!3d23.0072255!4d120.1880536!16s%2Fg%2F11hcz1kbhy!19sChIJo3TK1EN2bjQRLk6T995hF8s?authuser=0&hl=zh-TW&rclk=1
武聖夜市,臥花sake bar（店內公告請見IG),700台南市中西區西門路二段242-1號,https://www.google.com/maps/place/%E8%87%A5%E8%8A%B1sake+bar%EF%BC%88%E5%BA%97%E5%85%A7%E5%85%AC%E5%91%8A%E8%AB%8B%E8%A6%8BIG%29/data=!4m7!3m6!1s0x346e773e4cf5c865:0x7cab813d6c3613af!8m2!3d22.9954552!4d120.1996022!16s%2Fg%2F11vplm98_m!19sChIJZcj1TD53bjQRrxM2bD2Bq3w?authuser=0&hl=zh-TW&rclk=1
武聖夜市,螺王黃金雲吞,700台南市中西區,https://www.google.com/maps/place/%E8%9E%BA%E7%8E%8B%E9%BB%83%E9%87%91%E9%9B%B2%E5%90%9E/data=!4m7!3m6!1s0x346e777a0e19485f:0x2050a9b86fc7cbc9!8m2!3d23.0037238!4d120.1905598!16s%2Fg%2F11kk70gk_g!19sChIJX0gZDnp3bjQRycvHb7ipUCA?authuser=0&hl=zh-TW&rclk=1
武聖夜市,金桔先生,704台南市北區武聖路166號,https://www.google.com/maps/place/%E9%87%91%E6%A1%94%E5%85%88%E7%94%9F/data=!4m7!3m6!1s0x346e77c182f428cf:0x6bdc681644c07a9a!8m2!3d23.0068556!4d120.189568!16s%2Fg%2F11h7v0zxbl!19sChIJzyj0gsF3bjQRmnrARBZo3Gs?authuser=0&hl=zh-TW&rclk=1
武聖夜市,臭YO薯（臭薯條）,700台南市中西區武聖夜市,"https://www.google.com/maps/place/%E8%87%ADYO%E8%96%AF%EF%BC%88%E8%87%AD%E8%96%AF%E6%A2%9D%EF%BC%89/@23.0039771,120.1875705,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77e4a72be409:0x40d223401ec1c02!8m2!3d23.0039771!4d120.1901454!16s%2Fg%2F11tnwmjmtm?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,168老潼關肉夾饃,700台南市中西區武聖夜市號,"https://www.google.com/maps/place/168%E8%80%81%E6%BD%BC%E9%97%9C%E8%82%89%E5%A4%BE%E9%A5%83/@23.0039957,120.187663,17z/data=!3m1!4b1!4m6!3m5!1s0x346e777b85a2aa09:0xbb86287bfb3960ad!8m2!3d23.0039957!4d120.1902379!16s%2Fg%2F11st1ztbgk?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,無敵袋奶,700台南市中西區,"https://www.google.com/maps/place/%E7%84%A1%E6%95%B5%E8%A2%8B%E5%A5%B6/@23.0040586,120.1877381,17z/data=!3m1!4b1!4m6!3m5!1s0x346e771d00df1e8f:0x2e6d9c4745a1abcf!8m2!3d23.0040586!4d120.190313!16s%2Fg%2F11kk7d15k1?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,碳烤雄大香雞排,700台南市中西區武聖夜市號,"https://www.google.com/maps/place/%E7%A2%B3%E7%83%A4%E9%9B%84%E5%A4%A7%E9%A6%99%E9%9B%9E%E6%8E%92/@23.0039373,120.1876828,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77e57df230e7:0x3a457155fdb4d464!8m2!3d23.0039373!4d120.1902577!16s%2Fg%2F11kk7d85lp?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,喵你一拳甘草芭樂,700台南市中西區武聖路69巷,"https://www.google.com/maps/place/%E5%96%B5%E4%BD%A0%E4%B8%80%E6%8B%B3%E7%94%98%E8%8D%89%E8%8A%AD%E6%A8%82/@23.0038824,120.1878441,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77002ed3d7cb:0xee8fe7dfee197674!8m2!3d23.0038824!4d120.190419!16s%2Fg%2F11lp01l2b6?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,施子韓國烤肉,700台南市中西區武聖路69巷42號9號6排,"https://www.google.com/maps/place/%E6%96%BD%E5%AD%90%E9%9F%93%E5%9C%8B%E7%83%A4%E8%82%89/@23.0040333,120.1880291,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77b26e68dc7b:0x138921c8ef9a3a23!8m2!3d23.0040333!4d120.190604!16s%2Fg%2F11sth_s5pw?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,霞蜜罐罐烤奶,700台南市中西區武聖路69巷武（武聖夜市5排41格,"https://www.google.com/maps/place/%E9%9C%9E%E8%9C%9C%E7%BD%90%E7%BD%90%E7%83%A4%E5%A5%B6/@23.0039975,120.1880664,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7742db01838b:0x81a2536e1d798710!8m2!3d23.0039975!4d120.1906413!16s%2Fg%2F11lyjb2lm3?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
